Kunta,Autot,Henkilöautot,Pakettiautot,Kuorma-autot,Linja-autot,Erikoisautot,Moottoripyörät,Kolmi- tai nelipyörä,Mopot,Kevyet nelipyörät,Nelipyörät,Moottorikelkat,Traktorit,Moottorityökoneet
Nurmes,6 594,5 311,1 040,216,12,15,290,.,264,3,26,370,1 855,270
Outokumpu,4 228,3 656,455,84,30,3,207,.,180,5,12,202,844,87
Polvijärvi,3 030,2 501,456,67,3,3,138,.,146,3,2,166,1 200,76
Rääkkylä,1 544,1 274,225,42,2,1,48,1,68,.,4,88,619,34
Tohmajärvi,3 010,2 529,374,83,16,8,132,2,151,.,9,112,1 011,51
Hankasalmi,3 347,2 768,464,111,2,2,146,1,145,1,11,81,1 124,79
Joutsa,3 090,2 443,514,109,18,6,172,1,129,1,12,81,929,79
Jyväskylä,75 206,67 175,6 144,1 725,104,58,3 707,10,2 110,26,91,812,4 516,833
Jämsä,14 337,11 996,1 779,515,29,18,825,1,526,14,36,219,2 611,283
Kannonkoski,971,787,147,33,2,2,29,.,41,.,2,38,386,25
Karstula,2 872,2 313,450,100,5,4,111,.,109,.,13,86,945,105
Keuruu,6 276,5 407,649,177,36,7,318,1,229,7,17,106,1 245,110
Kinnula,1 097,886,163,35,11,2,41,.,44,1,1,32,436,19
Kivijärvi,746,600,109,32,1,4,28,.,28,.,2,39,246,12
Konnevesi,2 008,1 551,317,118,19,3,86,1,89,.,4,72,676,78
Kyyjärvi,863,696,121,37,9,.,35,1,31,.,3,16,388,47
Laukaa,12 515,10 699,1 346,441,21,8,741,7,498,4,22,213,1 870,190
Luhanka,599,477,97,25,.,.,28,1,17,.,2,17,258,25
Multia,1 244,872,304,66,.,2,63,.,43,.,2,27,440,128
Muurame,6 600,5 915,549,124,7,5,390,4,226,.,10,81,653,67
Petäjävesi,2 635,2 192,362,79,.,2,183,.,134,1,8,31,713,72
Pihtipudas,2 651,2 086,444,101,16,4,92,1,121,2,7,123,1 010,94
Saarijärvi,6 530,5 438,881,199,9,3,353,2,258,4,13,162,1 765,149
Toivakka,1 697,1 403,218,73,1,2,101,.,61,.,2,35,480,47
Uurainen,2 562,2 129,330,93,8,2,139,1,122,2,8,43,723,31
Viitasaari,4 160,3 385,579,174,18,4,200,2,153,1,11,156,1 157,135
Äänekoski,11 864,10 351,1 194,300,7,12,598,5,500,8,24,243,2 438,157
Alajärvi,6 875,5 587,970,299,10,9,272,.,287,7,24,128,2 236,165
Alavus,8 576,6 849,1 330,356,28,13,596,3,433,25,14,151,2 771,263
Evijärvi,1 991,1 511,331,120,28,1,64,.,64,3,6,54,672,84
Ilmajoki,9 535,7 884,1 184,460,3,4,533,5,479,24,24,168,2 541,246
Isojoki,1 636,1 247,291,85,10,3,51,.,76,1,3,17,744,68
Isokyrö,4 080,3 287,601,168,18,6,225,1,222,10,9,67,1 299,109
Karijoki,1 020,770,179,62,8,1,49,.,56,1,2,18,532,23
Kauhajoki,9 966,8 012,1 459,476,12,7,468,5,345,40,33,262,3 224,210
Kauhava,12 419,9 906,1 684,652,167,10,629,8,513,49,28,159,4 000,310
Kuortane,2 790,2 211,421,149,9,.,136,.,154,5,2,27,993,84
