,Aluekoodi,Alue,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
10,90,Kaivopuisto,813.0,798.0,764.0,745.0,709.0,713.0,686.0,664.0,665.0,662.0,616.0,638.0,626.0,633.0,622.0,623.0,610.0,620.0,587.0,627.0,610.0,605.0,584.0,544.0,531.0,508.0,528.0,502.0,498.0,467.0,450.0,448.0,473.0,501.0,514.0,509.0,501.0,498.0,504.0,488.0,482.0,472.0,491.0,467.0,461.0,452.0,451.0,450.0,446.0,432.0,455.0,462.0,474.0,489.0,502.0,473.0,494.0,472.0,465.0,444.0,465.0,437.0
11,204,Hernesaari,,,,,,1490.0,1480.0,1433.0,1421.0,1315.0,1225.0,1194.0,1158.0,1150.0,1147.0,1140.0,1080.0,1047.0,1041.0,1030.0,989.0,981.0,988.0,972.0,905.0,886.0,874.0,867.0,865.0,851.0,823.0,747.0,819.0,846.0,794.0,789.0,784.0,767.0,781.0,797.0,767.0,762.0,754.0,762.0,737.0,790.0,802.0,991.0,1081.0,1072.0,1096.0,1220.0,1191.0,1111.0,1232.0,1249.0,1202.0,1219.0,1243.0,1232.0,1181.0,1152.0
12,520,Suomenlinna,1618.0,1628.0,1624.0,1479.0,1392.0,1382.0,1362.0,1303.0,1357.0,1331.0,1339.0,1311.0,1245.0,1121.0,1121.0,1074.0,1056.0,1011.0,1002.0,980.0,873.0,926.0,944.0,939.0,916.0,901.0,909.0,879.0,858.0,861.0,871.0,851.0,832.0,816.0,877.0,865.0,867.0,865.0,848.0,860.0,844.0,822.0,836.0,841.0,826.0,804.0,798.0,799.0,801.0,781.0,796.0,753.0,783.0,782.0,790.0,750.0,739.0,704.0,744.0,718.0,686.0,664.0
13,531,Länsisaaret,18.0,16.0,30.0,27.0,24.0,6.0,13.0,7.0,10.0,12.0,8.0,9.0,12.0,5.0,7.0,4.0,10.0,10.0,7.0,7.0,9.0,9.0,2.0,2.0,8.0,9.0,9.0,10.0,10.0,10.0,3.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
14,103,Kampinmalmi,44767.0,43208.0,41965.0,40225.0,38736.0,37919.0,37246.0,37022.0,35996.0,34922.0,33218.0,32266.0,30710.0,29403.0,28347.0,27164.0,26545.0,25899.0,25290.0,24961.0,24692.0,24286.0,23455.0,23474.0,22944.0,22973.0,22831.0,22907.0,22508.0,22387.0,22597.0,22917.0,24685.0,26141.0,28023.0,29190.0,29588.0,29908.0,29796.0,29690.0,29631.0,29275.0,28991.0,28972.0,28905.0,29104.0,29455.0,29722.0,30394.0,30300.0,30450.0,31534.0,33006.0,34625.0,35414.0,36820.0,39617.0,40934.0,41714.0,43220.0,43738.0,44433.0
15,40,Kamppi,21823.0,20889.0,20273.0,19205.0,18520.0,17985.0,17620.0,17402.0,16758.0,16130.0,15221.0,14724.0,13762.0,13021.0,12271.0,11538.0,11316.0,11013.0,11002.0,10801.0,10744.0,10536.0,10309.0,10406.0,9901.0,9993.0,10031.0,10391.0,10303.0,10258.0,10375.0,10409.0,10474.0,10585.0,10698.0,10676.0,10764.0,10798.0,10702.0,10475.0,10502.0,10334.0,10328.0,10397.0,10359.0,10598.0,10867.0,10970.0,11327.0,11429.0,11218.0,11269.0,11395.0,11545.0,11709.0,12016.0,12228.0,12287.0,12258.0,12405.0,12168.0,12098.0
16,130,Etu-Töölö,22944.0,22319.0,21692.0,21020.0,20216.0,19681.0,19361.0,19157.0,18756.0,18299.0,17576.0,17103.0,16655.0,16039.0,15685.0,15199.0,14829.0,14482.0,14137.0,14038.0,13859.0,13663.0,13070.0,12976.0,12915.0,12849.0,12683.0,12401.0,12109.0,12031.0,12132.0,12211.0,12438.0,12627.0,12644.0,12789.0,13023.0,13082.0,13022.0,13192.0,13234.0,13117.0,12853.0,12950.0,12916.0,12927.0,13129.0,13335.0,13649.0,13498.0,13873.0,14147.0,14124.0,14203.0,14559.0,14750.0,14992.0,15152.0,15075.0,14960.0,14528.0,14728.0
17,201,Ruoholahti,,,,,,99.0,123.0,317.0,366.0,374.0,307.0,312.0,176.0,234.0,274.0,317.0,308.0,313.0,75.0,50.0,15.0,20.0,16.0,22.0,67.0,64.0,59.0,57.0,48.0,48.0,39.0,224.0,1384.0,2383.0,3070.0,3367.0,3420.0,3505.0,3541.0,3532.0,3442.0,3405.0,3403.0,3300.0,3298.0,3241.0,3204.0,3150.0,3126.0,3092.0,3059.0,3004.0,3026.0,3003.0,3051.0,2987.0,3029.0,3020.0,2964.0,2934.0,2852.0,2863.0
18,202,Lapinlahti,,,,,,144.0,138.0,142.0,106.0,109.0,104.0,121.0,111.0,102.0,112.0,110.0,92.0,88.0,73.0,69.0,71.0,67.0,60.0,70.0,61.0,67.0,58.0,58.0,48.0,50.0,51.0,73.0,80.0,89.0,85.0,42.0,37.0,18.0,15.0,16.0,16.0,9.0,7.0,7.0,20.0,42.0,11.0,28.0,28.0,28.0,28.0,28.0,28.0,29.0,28.0,28.0,26.0,26.0,26.0,25.0,25.0,26.0
19,203,Jätkäsaari,,,,,,10.0,4.0,4.0,10.0,10.0,10.0,6.0,6.0,7.0,5.0,,,3.0,3.0,3.0,3.0,,,,,,,,,,,,309.0,457.0,1526.0,2316.0,2344.0,2505.0,2516.0,2475.0,2437.0,2410.0,2400.0,2318.0,2312.0,2296.0,2244.0,2239.0,2264.0,2253.0,2272.0,3086.0,4433.0,5845.0,6067.0,7039.0,9342.0,10449.0,11391.0,12896.0,14165.0,14718.0
